,B,C,D,E,F,J,M,S,front-wheel drive,part-time four-wheel drive,rear drive,electrocar,petrol,with damage,with mileage,make,priceUSD,year,mileage(kilometers),volume(cm3)
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,31,565,1993,960015.0,2000.0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,23,5550,2008,172000.0,1400.0
2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,56,8300,2008,223000.0,2500.0
3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,84,3300,2005,140000.0,1200.0
4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,56,2450,2002,413000.0,2200.0
5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,56,18900,2016,148000.0,1600.0
6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,54,2000,1997,378194.9,2000.0
7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,84,5950,2002,245000.0,1900.0
8,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,84,3200,1991,400000.0,1800.0
9,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,66,4700,2004,210000.0,2000.0
10,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,3,17500,2013,155000.0,2000.0
11,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,16,2050,2013,100000.0,800.0
13,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,54,500,1993,230000.0,2000.0
14,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,54,17950,2012,77200.0,2000.0
15,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,58,750,1991,290000.0,1600.0
16,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,58,11950,2015,137800.0,1600.0
17,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,66,1800,1998,400000.0,1900.0
18,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,12,4650,2011,300000.0,1600.0
19,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,66,3500,2003,180000.0,2200.0
20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,84,7500,2005,350000.0,1900.0
21,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,9023,2005,225526.0,2000.0
22,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,56,3300,2005,220000.0,2000.0
23,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,50,4944,1998,250000.0,2300.0
24,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,44,12550,2008,202000.0,3500.0
25,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5,19350,2013,152200.0,4400.0
26,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,3,500,1982,240150.0,1600.0
27,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,5,15800,2013,140000.0,2000.0
28,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,58,2500,1998,447000.0,2000.0
29,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,25,600,1968,1111111.0,2400.0
30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,85,4500,2001,300000.0,2400.0
31,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,12,7000,2012,136000.0,2000.0
32,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,84,20850,2012,208000.0,2000.0
33,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,54,700,1993,400000.0,1600.0
34,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,38,19500,2011,151420.0,5000.0
35,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,84,1000,1991,433000.0,2000.0
36,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,23,12250,2016,95000.0,1500.0
